"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth"
"50","P008","CON26","P008.1","Intara y'Iburasirazuba","Rwanda","farming system-crop","The project targets the upscaling of agricultural insurance among smallholder farmers in Rwanda's Eastern province.","Interventions in Rwanda's Eastern province included agricultural insurance programs and financial literacy campaigns.","The Eastern province has a semi-dry climate and a lower altitude compared to the rest of Rwanda, making it more prone to climatic adversities and crop production risks.","smallholder farmer","High insurance uptake rate reported.","","","","outcome","Interviews were conducted with key informants of the province.","2"
"51","P008","CON26","P008.2","Intara y'Amajyepfo","Rwanda","farming system-crop","The project targets the upscaling of agricultural insurance among smallholder farmers in Rwanda's Southern province.","Interventions in Rwanda's Southern province included agricultural insurance programs and financial literacy campaigns.","The Southern province shares some biophysical attributes with the Eastern Province, such as lower altitude and greater risks for crop production.","smallholder farmer","High insurance uptake rate reported.","","","","outcome","Interviews were conducted with key informants of the province.","2"
"52","P008","CON26","P008.3","Intara y'Amajyaruguru","Rwanda","farming system-crop","The project targets the upscaling of agricultural insurance among smallholder farmers in Rwanda's Northern province.","Interventions in Rwanda's Northern province included agricultural insurance programs and financial literacy campaigns.","The Northern province, although less prone to drought and crop failures due to its cooler and wet climates, is also characterized by livelihood challenges for smallholder crop farmers due to unpredictable weather.","smallholder farmer","Surprisingly, most of farmers in these regions had not subscribed to any form of insurance cover, and sustained effort is being deployed to reverse the trend.","","","","outcome","Interviews were conducted with key informants of the province.","2"
"53","P008","CON26","P008.4","Intara y'Uburengerazuba","Rwanda","farming system-crop","The project targets the upscaling of agricultural insurance among smallholder farmers in Rwanda's Western province.","Interventions in Rwanda's Western province included agricultural insurance programs and financial literacy campaigns.","The Western province, although less prone to drought and crop failures due to its cooler and wet climates, is also characterized by livelihood challenges for smallholder crop farmers due to unpredictable weather.","smallholder farmer","Surprisingly, most of farmers in these regions had not subscribed to any form of insurance cover, and sustained effort is being deployed to reverse the trend.","","","","outcome","Interviews were conducted with key informants of the province.","2"
"54","P008","CON26","P008.5","Kigali","Rwanda","farming system-crop","The project targets the upscaling of agricultural insurance among smallholder farmers in Kigali.","Interventions in Kigali included agricultural insurance programs and financial literacy campaigns.","Urban nature and the corresponding lack of smallholder farmers made it challenging for the project to gain foothold.","smallholder farmer","No insurance uptake rate reported.","","","","outcome","Interviews were conducted with key informants of the province.","2"
"55","P009","GLO18","P001.13","Comoros","Comoros","farming system-fish","The project focuses on selected priority fisheries at regional, national and community level of the Union of Comoros.","The Project Development Objective is to improve the management effectiveness of selected priority fisheries at regional, national and community level.","Deficient management of small-scale fisheries and monitoring of offshore tuna fisheries.","artisanal fisher","Six CMUs composed of fishing community members from 15 villages in Anjouan, Moheli, and Grand Comore islands, achieved two of the four performance targets as planned, and the project benefitted 22,762 beneficiaries (21 percent female) ... 13 operational fisheries infrastructures were built.","6","functional co-management units","number","outcome","Data from consultation and validation workshops, beneficiary calculations, and a modern statistical data collection and transmittal system using Open Data Kit Interface.","2"
"56","P009","GLO18","P009.1","Mozambique","Mozambique","farming system-fish","The project focuses on selected priority fisheries at regional, national and community level of Mozambique.","The Project Development Objective is to improve the management effectiveness of selected priority fisheries at regional, national and community level in Mozambique.","Weak management of shallow-water shrimp fisheries, and the artisanal fleet had sharply increased, risking overexploitation.","artisanal fisher","43 CCPs achieved three of the four performance targets, exceeding the 30 CCP target, 98,485 beneficiaries (of which 48 percent were female) were reached and five infrastructures to support artisanal fisheries were completed and were operational.","43","functional co-management units","number","outcome","Data was collected through stock assessments and beneficiary calculations.","2"
"57","P009","GLO18","P002.3","Tanzania","Tanzania","farming system-fish","The project focuses on selected priority fisheries at regional, national and community level of Tanzania.","The Project Development Objective is to improve the management effectiveness of selected priority fisheries at regional, national and community level in Tanzania.","Weak legal and institutional framework, weak human capacity, and insufficient post-harvest infrastructure.","artisanal fisher","116 out of 149 co-management units supported in mainland Tanzania and Zanzibar achieved at least two performance targets, and the project benefitted 257,071 beneficiaries (4 percent of which female), and 23 targeted fisheries management infrastructure were operationalized.","78","functional community-based management units","percentage","outcome","In Mainland Tanzania, the previous Catch Assessment Survey (CAS, using Microsoft Access) database was converted into an electronic CAS database system (eCAS database) with features that include a mobile phone application to facilitate data transfer and sharing... In Zanzibar, data collection applies a new catch sampling protocol in all of Zanzibar’s landing sites.","2"
"58","P010","ZA2","P001.9","Malawi","Malawi","farming system-mixed","The project targets agricultural extension, research, and the support of improved agricultural technologies like seed varieties, with a focus on maize in Malawi.","The objective of this component was to finance technology generation and dissemination activities associated with the commodity group being targeted by the Regional Center of Leadership (RCoL) at Chitedze Agricultural Research Station, with maize-focused field demonstrations and trainings of lead farmers implemented in Malawi.","Agricultural research and development (R&D) were and continue to remain underfunded in Africa, and Southern Africa was no exception.","smallholder farmer","Malawi alone contributed 50 percent of the total beneficiaries reached; DVD on production of Nerica rice aired on the Malawi Broadcasting Corporation TV Station, MBC Radio and channel; 32 maize varieties generated (highest among 3 crops); 44 legume varieties; 5 rice varieties; 8 agronomic practices; 4 post-harvest technologies; Chitedze, Bvumbwe, Kasinthula research facilities rehabilitated; 18,208 lead farmers reached; 49% female beneficiaries; 2,338,654 total direct beneficiaries","81 || 95","improved seed varieties generated","number","output","The project conducted adoption studies which followed good econometric methodologies. ","2"
"59","P010","ZA3","P009.1","Mozambique","Mozambique","farming system-mixed","The project targets agricultural extension, research, and the support of improved agricultural technologies like seed varieties, with a focus on rice and post-harvest technologies in Mozambique.","In Mozambique, the Regional Center of Leadership (RCoL) at Instituto de Investigação Agrária de Moçambique (IIAM) focused on research on rice and post-harvest technologies, while also implementing field demonstrations and trainings of lead farmers.","Agricultural research and development (R&D) were and continue to remain underfunded in Africa, and Southern Africa was no exception.","smallholder farmer","In Mozambique, the project achieved 10 rice varieties generated; 12 maize varieties; 23 legume varieties; 19 agronomic practices; 45 post-harvest technologies (highest among 3 countries); new Regional Center for Rice Leadership and Research in Namacurra District constructed; 7 irrigation systems rehabilitated; Mozambique shared 97% of post-harvest, labor saving and processing technologies regionally; 10,600 lead farmers reached; 30% female beneficiaries; 1,000,000 total direct beneficiaries","45 || 115","improved seed varieties generated","number","output","The project conducted adoption studies which followed good econometric methodologies. In Mozambique, APPSA varieties (cereals, legumes and rice) are among the top 3 varieties stocked by surveyed agro-dealers.","2"
"60","P010","ZA4","L011.5","Zambia","Zambia","farming system-mixed","The project targets agricultural extension, research, and the support of improved agricultural technologies like seed varieties, with a focus on legumes in Zambia.","Zambia RCoL (under the Zambia Agricultural Research Institute, ZARI) specialized in legumes.","Agricultural research and development (R&D) were and continue to remain underfunded in Africa, and Southern Africa was no exception.","smallholder farmer","In Zambia, the project supported 23 legume varieties generated (highest among 3 crops); 10 maize varieties; 6 rice varieties; 16 agronomic practices; 32 post-harvest technologies. Infrastructure: Mt. Makulu and Kabwe research stations rehabilitated; soil laboratories funded; Zambia shared the most legume seed varieties regionally and released two ground nut varieties to Malawi; 11,664 lead farmers reached; 37% female beneficiaries; 1,274,292 total direct beneficiaries","81 || 91","improved seed varieties generated","number","output","The project conducted adoption studies which followed good econometric methodologies. An assessment by Kapunda et al. (2019) on maize, rice, common bean and soybean yield in Zambia for the 2017/2018 agricultural season found that APPSA farmers had better yields than non-APPSA farmers. It attributed the results to concerted efforts of combination of both good varieties and agronomic practices","2"
